Students,Gender,Age,LinkedIn,Repos,Failed_1,Failed_2,Commits
1,F,25,N,4,Y,Y,124
2,F,23,N,5,Y,Y,89
3,F,22,Y,6,Y,Y,117
4,F,26,Y,4,Y,Y,110
5,F,35,Y,6,Y,Y,101
6,F,23,Y,5,Y,Y,122
7,F,26,N,6,Y,Y,201
8,F,27,N,6,N,N,210
9,F,24,Y,10,Y,N,211
10,F,24,Y,12,N,N,176
11,F,26,N,6,N,N,287
12,F,26,Y,4,N,N,315
13,F,27,Y,4,N,N,227
14,F,28,N,7,Y,N,171
15,F,23,Y,6,N,N,143
16,F,24,Y,10,N,N,245
17,M,26,N,32,Y,Y,723
18,M,26,N,32,Y,Y,646
19,M,25,Y,14,Y,Y,240
20,M,25,N,4,Y,Y,89
21,M,24,Y,4,Y,Y,99
22,M,26,N,4,Y,Y,119
23,M,26,N,4,Y,Y,142
24,M,27,Y,12,N,N,431
25,M,27,Y,32,Y,N,566
26,M,25,Y,16,N,N,358
27,M,25,Y,4,N,N,203
28,M,24,Y,4,N,N,211
29,M,23,N,4,N,N,243
30,M,25,Y,16,Y,N,388
31,M,23,Y,4,N,N,197
32,M,22,Y,16,N,N,239
33,M,21,Y,4,N,N,207
34,M,27,Y,4,Y,N,277
35,M,28,Y,16,N,N,321
36,M,32,N,32,N,N,422
37,M,31,N,32,N,N,587
38,M,30,Y,37,N,N,598
39,M,28,Y,37,Y,N,711
40,M,29,Y,40,N,N,1032
41,M,27,Y,32,N,N,432
42,M,27,Y,16,N,N,143
43,M,26,Y,14,Y,N,199
44,M,25,N,14,N,N,187
45,M,26,N,12,N,N,162
46,M,27,Y,18,N,N,223
47,M,25,Y,15,N,N,249
48,M,24,Y,16,Y,N,298
49,M,25,Y,4,N,N,163
50,M,25,N,6,N,N,188
51,M,26,Y,7,N,N,232
52,M,25,Y,8,Y,N,243
53,M,27,Y,11,N,N,276
54,M,27,Y,10,N,N,255
55,M,24,Y,22,N,N,298
56,M,26,Y,24,N,N,340
57,M,27,N,12,Y,N,311
58,M,24,N,9,N,N,144
59,M,28,N,18,N,N,184
60,M,27,Y,22,N,N,281
61,M,28,Y,5,Y,N,116
62,M,29,Y,7,N,N,322
63,M,27,Y,3,N,N,67
64,M,26,Y,7,N,N,275
65,M,26,Y,9,N,N,331
66,M,25,Y,6,Y,N,254
67,M,26,Y,8,N,N,111
68,M,27,Y,19,N,N,341
69,M,28,Y,8,N,N,249
70,M,26,N,10,Y,N,421
71,M,27,Y,11,N,N,411
72,M,28,Y,12,N,N,241
73,M,24,N,12,N,N,217
74,M,25,Y,20,N,N,554
75,M,26,Y,21,Y,N,251
76,M,27,N,19,N,N,221
77,M,26,Y,12,N,N,117
78,M,25,Y,5,N,N,201
79,M,25,Y,7,Y,N,233
80,M,26,Y,8,N,N,241
81,M,25,Y,11,N,N,221
82,M,25,Y,15,N,N,244
83,M,25,N,12,N,N,261
84,M,26,N,9,Y,N,207
85,M,24,Y,8,N,N,255
86,M,24,N,6,N,N,227
87,M,27,Y,5,Y,Y,81
