Students,Gender,Age,LinkedIn,Repos,Failed_1,Failed_2
1,F,25,N,4,Y,Y
2,F,23,N,5,Y,Y
3,F,22,Y,6,Y,Y
4,F,26,Y,4,Y,Y
5,F,35,Y,6,Y,Y
6,F,23,Y,5,Y,Y
7,F,26,N,6,Y,Y
8,F,27,N,6,N,N
9,F,24,Y,10,Y,N
10,F,24,Y,12,N,N
11,F,26,N,6,N,N
12,F,26,Y,4,N,N
13,F,27,Y,4,N,N
14,F,28,N,7,Y,N
15,F,23,Y,6,N,N
16,F,24,Y,10,N,N
17,M,26,N,32,Y,Y
18,M,26,N,32,Y,Y
19,M,25,Y,14,Y,Y
20,M,25,N,4,Y,Y
21,M,24,Y,4,Y,Y
22,M,26,N,4,Y,Y
23,M,26,N,4,Y,Y
24,M,27,Y,12,N,N
25,M,27,Y,32,Y,N
26,M,25,Y,16,N,N
27,M,25,Y,4,N,N
28,M,24,Y,4,N,N
29,M,23,N,4,N,N
30,M,25,Y,16,Y,N
31,M,23,Y,4,N,N
32,M,22,Y,16,N,N
33,M,21,Y,4,N,N
34,M,27,Y,4,Y,N
35,M,28,Y,16,N,N
36,M,32,N,32,N,N
37,M,31,N,32,N,N
38,M,30,Y,37,N,N
39,M,28,Y,37,Y,N
40,M,29,Y,40,N,N
41,M,27,Y,32,N,N
42,M,27,Y,16,N,N
43,M,26,Y,14,Y,N
44,M,25,N,14,N,N
45,M,26,N,12,N,N
46,M,27,Y,18,N,N
47,M,25,Y,15,N,N
48,M,24,Y,16,Y,N
49,M,25,Y,4,N,N
50,M,25,N,6,N,N
51,M,26,Y,7,N,N
52,M,25,Y,8,Y,N
53,M,27,Y,11,N,N
54,M,27,Y,10,N,N
55,M,24,Y,22,N,N
56,M,26,Y,24,N,N
57,M,27,N,12,Y,N
58,M,24,N,9,N,N
59,M,28,N,18,N,N
60,M,27,Y,22,N,N
61,M,28,Y,5,Y,N
62,M,29,Y,7,N,N
63,M,27,Y,3,N,N
64,M,26,Y,7,N,N
65,M,26,Y,9,N,N
66,M,25,Y,6,Y,N
67,M,26,Y,8,N,N
68,M,27,Y,19,N,N
69,M,28,Y,8,N,N
70,M,26,N,10,Y,N
71,M,27,Y,11,N,N
72,M,28,Y,12,N,N
73,M,24,N,12,N,N
74,M,25,Y,20,N,N
75,M,26,Y,21,Y,N
76,M,27,N,19,N,N
77,M,26,Y,12,N,N
78,M,25,Y,5,N,N
79,M,25,Y,7,Y,N
80,M,26,Y,8,N,N
81,M,25,Y,11,N,N
82,M,25,Y,15,N,N
83,M,25,N,12,N,N
84,M,26,N,9,Y,N
85,M,24,Y,8,N,N
86,M,24,N,6,N,N
87,M,27,Y,5,Y,Y
